time	searchRound	searchTerm	superordinate	subordinate_positive	N_positive	mean_positive	sd_positive	subordinate_negative	N_negative	mean_negative	sd_negative	subordinate_neutral	N_neutral	mean_neutral	sd_neutral	subordinate_ambivalent	N_ambivalent	mean_ambivalent	sd_ambivalent
2022-05-30T08:41:53Z	1	Interdisziplinarität	Abwechslung	Interdisziplinarität	1	3	NA		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T08:46:47Z	2	ermutigend|positi	Lehrklima	ermutigend // positivität	2	1	0		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T08:52:02Z	3	Faire|Kognitiv fördernd|Anspruchsvoll|Leistungsniveau	Anforderungen	Faire Anforderungen // Leistungsniveau // Anspruchsvoll // Kognitiv fördernd	4	2.5	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T08:53:42Z	4	Arbeitsaufwand|weniger Arbeitsaufwand|Lernpensum	Aufwand	Arbeitsaufwand // Lernpensum machbar // weniger Arbeitsaufwand	3	1.67	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T08:56:16Z	5	asynchron online|Asynchrone Inhalte|Video-Upload|Videos|man kann zurückspulen	asynchrone Lehre	Video-Upload // man kann zurückspulen // Asynchrone Inhalte	3	2	1		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:04:05Z	6	Lernatmosphäre|Angenehme Atmosphäre|Gemeinschaft am Institut|Sitzordnung|Stimmung entspannt|Stimmung unter Studierenden	Atmosphäre	Gemeinschaft am Institut // Stimmung unter Studierenden // Stimmung entspannt // Sitzordnung // Lernatmosphäre	5	1.6	0.55		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:10:50Z	7	Kontakte/|Austausch in Seminaren|Austausch|fachlicher Austausch|intensiver|Gegenseitigkeit	Austausch	Austausch_positive // Gegenseitigkeit // Kontakte/ Diskussion // intensiver Austausch // Austausch in Seminaren // fachlicher Austausch	7	2	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:11:36Z	8	Beispielaufgaben|Beispielklausurmaterial|Probe	Beispielklausur	Probeklausur // Beispielklausurmaterial // Beispielaufgaben der Klausur	3	1.33	0.58		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:15:19Z	9	auf Nachfrage|der Uni|finanzielle|Studienberatung|Psychotherapeutische|Beratungsangebote|Rückhalt	Beratungsangebote	Psychotherapeutische Beratung // Beratungsamgebote der Uni // Rückhalt // Beratung auf Nachfrage // Studienberatung // finanzielle Beratung	6	1.5	0.84		0	NA	NA		0	NA	NA		0	NA	NA
2022-05-30T09:18:45Z	10	Psychotherapie|Beruf|Jobaussicht|Jobmögl|viele Mögl|Chancen|guter Abschluss|Berufswunsch	Berufsaussichten	Jobmöglichkeiten gut // guter Abschluss // viele Möglichkeiten // Psychotherapie // Berufswunsch	5	1.8	0.84		0	NA	NA		0	NA	NA		0	NA	NA
